Timestamp[ms] "A_X [mg]" "A_Y [mg]" "A_Z [mg]" "G_X [mdps]" "G_Y [mdps]" "G_Z [mdps]"
0 -830 181 475 -980 1540 7910
9 -846 147 477 910 2380 13160
19 -855 121 471 4060 1890 14210
28 -874 149 458 9100 1540 10710
38 -871 177 451 11270 1120 4130
48 -839 136 423 9940 630 -3150
57 -827 75 345 13510 2520 -9170
67 -858 199 385 25550 8890 -15960
76 -849 211 379 24850 16100 -22540
86 -864 172 380 19180 22750 -23380
96 -885 178 401 24010 27510 -22190
105 -898 167 419 29610 29330 -20720
115 -901 160 430 33040 28840 -18620
125 -917 214 434 38220 27510 -17150
134 -909 261 455 38850 23730 -15610
144 -911 258 468 32970 17150 -12320
153 -927 264 477 27160 9030 -7630
163 -937 249 476 22890 840 -3360
173 -914 222 457 16520 -5250 -70
182 -891 185 425 8120 -8680 1750
192 -882 141 393 3570 -9450 2660
201 -876 120 370 8610 -8050 2590
211 -879 132 370 19600 -5040 1190
221 -885 161 381 27860 -980 -2240
230 -880 145 403 31080 3080 -6650
240 -884 173 429 35350 7280 -10780
250 -920 193 446 38430 9870 -14560
259 -941 191 449 37170 8330 -17850
269 -937 226 459 35630 4340 -19880
278 -941 240 429 30380 -3080 -20510
288 -933 241 421 23730 -13300 -18340
298 -898 232 419 18690 -21000 -13300
307 -843 224 419 15470 -23940 -7700
317 -815 198 425 15750 -22680 -3010
326 -782 156 421 18760 -18270 -770
336 -783 160 416 26110 -11200 -1330
346 -790 174 422 36190 -4900 -4550
355 -787 162 437 45920 -1330 -8750
365 -784 170 466 56350 1470 -13300
375 -776 196 487 67060 3360 -17220
384 -762 138 491 75740 3220 -20020
394 -705 78 485 83930 2310 -22890
403 -653 44 476 95270 3850 -29820
413 -621 0 466 108990 7070 -40180
423 -634 39 440 125370 12600 -51800
432 -667 51 408 139160 20580 -62370
442 -687 35 352 147280 27650 -71050
451 -698 51 267 154140 33880 -76790
461 -744 87 238 161490 39270 -80290
471 -833 157 218 164850 41860 -82530
480 -893 270 232 163030 41790 -80640
490 -912 372 242 158410 42770 -72520
500 -917 471 182 152460 45500 -58170
509 -942 554 118 140210 50540 -40530
519 -1034 458 107 112630 59850 -25480
528 -1130 252 112 85470 69860 -16450
538 -1160 150 115 79940 75530 -11550
548 -1209 169 103 83160 76300 -11970
557 -1227 293 128 81900 70840 -20300
567 -1220 396 192 73220 62650 -30730
576 -1212 379 244 58450 51800 -36190
586 -1187 318 313 44730 37100 -36960
596 -1109 320 299 37940 21280 -34860
605 -1035 308 268 29190 8470 -32480
615 -976 316 275 13160 1050 -31640
625 -934 339 270 -6720 -1890 -32410
634 -894 367 259 -24500 -350 -32900
644 -958 288 196 -30590 1050 -31290
653 -1104 185 179 -28280 70 -27930
663 -1191 173 206 -27440 210 -24780
673 -1194 170 237 -37520 1960 -24710
682 -1162 67 279 -57120 5250 -30240
692 -1110 118 375 -71960 9940 -43050
701 -1148 217 381 -98910 4970 -63910
711 -1114 271 361 -140420 -15680 -86520
721 -1006 372 328 -186340 -40670 -93730
730 -1038 120 371 -236040 -59570 -87360
740 -1051 -96 323 -271670 -71820 -82600
750 -1007 -78 143 -257460 -84350 -79800
759 -940 -82 29 -220640 -85470 -76020
769 -902 -68 153 -188860 -72450 -69930
778 -929 29 233 -160650 -57330 -62650
788 -982 74 231 -131600 -50050 -52920
798 -1006 53 187 -95060 -47740 -41230
807 -972 -9 143 -43330 -45850 -27790
817 -898 -67 82 24430 -41930 -14420
826 -842 -14 -12 105700 -29540 1820
836 -849 28 -34 188300 -4550 23310
846 -885 104 4 272440 27440 45920
855 -882 235 33 366310 59220 67900
865 -811 142 -46 470890 90650 89530
875 -730 258 -149 582820 126070 101710
884 -699 570 -151 693210 168700 102060
894 -657 676 -232 797160 211470 96740
903 -747 877 -333 885780 252000 77980
913 -914 952 -354 935620 287910 45360
923 -1030 959 -286 948290 304080 8540
932 -1110 859 -174 934570 291550 -19600
942 -1126 589 -16 893620 255430 -43050
951 -1196 184 128 836430 202160 -74760
961 -979 77 9 783650 147770 -123830
971 -869 56 8 722330 114800 -171570
980 -911 9 115 646660 105140 -198170
990 -911 4 128 574140 99610 -199850
1000 -929 -91 168 501410 94500 -177380
1009 -1062 -193 244 404810 90720 -149100
1019 -1220 -263 247 285670 82110 -129080
1028 -1239 -198 294 161140 65730 -112070
1038 -1177 -147 242 40810 44240 -89670
1048 -1120 -146 141 -65730 23870 -57400
1057 -1050 -126 -17 -150290 9310 -20930
1067 -1061 -121 -91 -215320 210 13020
1076 -1165 -189 -135 -273210 -8400 36190
1086 -1260 -184 -173 -332710 -21840 39690
1096 -1158 -222 -580 -397040 -43190 26460
1105 -1077 -45 -818 -467040 -46060 9310
1115 -1097 -153 -420 -529830 -26110 1750
1125 -1093 -14 -293 -597310 -37730 -4620
1134 -1045 188 -453 -676900 -82740 -9380
1144 -901 295 -571 -754110 -123340 -5390
1153 -841 352 -487 -823620 -148120 -2310
1163 -759 317 -431 -873180 -168140 -9100
1173 -767 465 -354 -885850 -185640 -22680
1182 -923 754 -299 -878220 -205240 -38150
1192 -1016 722 -285 -852810 -220990 -51660
1201 -960 622 -266 -814730 -227710 -68880
1211 -825 538 -358 -746970 -222180 -87290
1221 -835 448 -288 -654080 -196280 -100380
1230 -928 315 -172 -558320 -160860 -112420
1240 -972 227 -125 -461860 -132580 -126560
1250 -998 183 -107 -370370 -109900 -138740
1259 -1029 106 -51 -295260 -91280 -144060
1269 -1025 96 -28 -234010 -78960 -139230
1278 -1023 66 5 -184870 -72800 -123760
1288 -1043 23 30 -147700 -71120 -101430
1298 -1055 -17 75 -118370 -70840 -79730
1307 -1045 -29 80 -88270 -72100 -61320
1317 -1028 -42 78 -50890 -70350 -45290
1326 -978 -86 73 4760 -61600 -27790
1336 -899 -93 54 83370 -42980 -5180
1346 -900 -51 39 172200 -12740 23100
1355 -901 -103 -3 269920 27930 54740
1365 -870 -15 -129 392560 77420 86590
1375 -872 186 -143 538230 138460 119210
1384 -842 346 -217 696080 208110 157570
1394 -845 540 -380 854420 282870 196770
1403 -867 754 -503 997780 360430 228410
1413 -827 1042 -567 1124970 429520 247170
1423 -850 977 -469 1230250 479920 244230
1432 -993 994 -460 1293460 485450 202860
1442 -815 798 -1712 1285060 434420 125440
1451 -967 1194 -942 1210580 403130 41090
1461 -865 719 -332 1097460 350910 -17990
1471 -915 366 -305 960330 220920 -82740
1480 -771 212 -331 823200 94640 -157430
1490 -717 -236 -230 678020 16240 -210000
1500 -1111 -286 18 491190 -23240 -241920
1509 -1184 -606 145 290780 -50890 -237510
1519 -1182 -600 -4 111090 -72520 -193760
1528 -1046 -587 -44 -40110 -80080 -120960
1538 -852 -598 -226 -156100 -77630 -31920
1548 -804 -588 -225 -237860 -65590 51030
1557 -825 -540 -246 -302680 -56420 106960
1567 -819 -486 -395 -361900 -64190 134960
1576 -788 -416 -630 -413210 -77420 138250
1586 -836 -338 -592 -462490 -86800 122220
1596 -892 -247 -509 -519190 -105700 93660
1605 -908 -121 -606 -581070 -142940 59570
1615 -914 -50 -589 -644490 -178710 28490
1625 -968 111 -443 -702030 -209930 2800
1634 -813 141 -538 -744030 -246330 -10990
1644 -732 142 -489 -769090 -270970 -9380
1653 -727 195 -444 -779660 -285460 -1610
1663 -809 258 -452 -784840 -298270 5110
1673 -893 306 -400 -785120 -311430 8050
1682 -971 347 -288 -780570 -324730 -1890
1692 -1005 311 -152 -760060 -337610 -24080
1701 -966 340 -16 -721980 -345380 -53130
1711 -879 379 -146 -665910 -347480 -78540
1721 -849 265 -115 -588630 -327390 -90160
1730 -843 200 -72 -503580 -284830 -90230
1740 -844 156 1 -414680 -236460 -80990
1750 -847 105 69 -328300 -189350 -64960
1759 -853 85 126 -247240 -144550 -45220
1769 -832 75 195 -171220 -102130 -24430
1778 -841 91 253 -103040 -63770 -5670
1788 -869 110 297 -47670 -31010 8470
1798 -907 131 329 -9310 -4690 17640
1807 -940 141 358 13300 15330 22400
1817 -971 152 367 25340 28910 24080
1826 -992 165 366 31640 36890 24080
1836 -930 180 339 36960 40250 23310
1846 -996 216 358 41300 40880 21490
1855 -1072 220 324 49490 37940 21000
1865 -1088 173 298 70560 34440 25480
1875 -1048 172 276 118160 35770 36820
1884 -986 145 192 198030 47950 58030
1894 -889 94 93 307230 76930 86030
1903 -821 145 -69 450450 126980 116480
1913 -796 265 -249 620760 196000 146300
1923 -744 556 -494 812140 277620 176330
1932 -744 930 -670 1003240 362530 204820
1942 -686 1189 -693 1178030 435610 230580
1951 -660 1406 -675 1325660 472640 246750
1961 -416 976 -1992 1391810 450240 235060
1971 -1083 1716 -1504 1377250 462000 195720
1980 -1319 1263 -612 1279040 439250 152180
1990 -1188 877 -959 1118740 276430 92470
2000 -1106 484 -266 938000 132370 30310
2009 -939 48 -247 756560 -11340 -29190
2019 -738 -416 -231 596470 -126210 -95130
2028 -754 -186 -695 443030 -189630 -164150
2038 -909 -339 -492 288260 -192570 -197750
2048 -1043 -441 -109 150290 -167090 -199710
2057 -989 -418 -84 38360 -164850 -176610
2067 -797 -421 -349 -53200 -165340 -127540
2076 -798 -525 -111 -130760 -140700 -61880
2086 -816 -563 -95 -196000 -119420 -1680
2096 -841 -510 -164 -244090 -108080 42420
2105 -870 -482 -235 -287980 -96880 72170
2115 -895 -458 -281 -335090 -88760 88270
2125 -906 -389 -302 -389480 -85610 91910
2134 -905 -299 -339 -454230 -90930 85680
2144 -910 -179 -341 -529760 -104510 72310
2153 -900 -42 -346 -611730 -126560 55860
2163 -879 23 -297 -695240 -154140 41160
2173 -804 61 -271 -770490 -188510 30030
2182 -721 271 -379 -831950 -227430 22750
2192 -719 250 -441 -879200 -256200 23730
2201 -759 319 -408 -904890 -274400 26460
2211 -744 400 -408 -918190 -293650 24080
2221 -799 494 -402 -916300 -309400 19950
2230 -885 389 -226 -907900 -318850 3150
2240 -959 484 201 -885710 -332290 -28560
2250 -855 464 -125 -828590 -363020 -63000
2259 -796 445 -75 -744100 -351750 -86170
2269 -793 387 -55 -653380 -315980 -102970
2278 -798 254 -1 -555240 -265090 -110320
2288 -802 126 74 -447580 -207830 -108150
2298 -806 23 147 -335370 -150290 -96180
2307 -817 -28 208 -225120 -97580 -74340
2317 -861 -22 268 -124320 -51170 -43890
2326 -907 54 344 -42140 -11760 -7980
2336 -942 91 402 13020 19880 27300
2346 -985 132 466 42140 43260 53410
2355 -1006 209 488 50260 58870 66010
2365 -1019 256 497 41370 68600 65940
2375 -1014 272 483 23240 73710 55580
2384 -1034 230 496 5880 74410 39200
2394 -983 229 425 -1960 69790 20020
2403 -1020 234 409 -3570 63350 2310
2413 -1003 201 321 1890 54320 -7910
2423 -966 155 279 12110 46900 -12180
2432 -946 124 264 25480 42070 -12950
2442 -942 135 253 38850 38780 -10710
2451 -947 137 260 46480 37380 -6510
2461 -970 115 277 50680 35910 -1680
2471 -996 107 237 58170 32900 1890
2480 -1003 108 195 76370 31850 6230
2490 -1021 95 162 111440 35980 14910
2500 -1016 86 108 167510 45570 29260
2509 -930 29 22 247100 63070 49910
2519 -800 33 -129 355740 93450 76230
2528 -766 176 -269 495600 140280 107520
2538 -762 281 -415 658910 199710 145670
2548 -702 578 -655 843570 264740 188930
2557 -716 990 -830 1024380 331450 231770
2567 -739 1187 -717 1185310 388640 267750
2576 -599 1337 -996 1320200 406070 280770
2586 -367 1211 -1997 1392790 387520 258720
2596 -850 1666 -1393 1381800 415660 214900
2605 -1101 1318 -1203 1280160 357560 170310
2615 -1206 911 -711 1116780 221620 106820
2625 -1037 250 -156 938000 70770 34790
2634 -937 -48 -286 774620 -88060 -51240
2644 -761 -419 -524 631890 -192850 -134890
2653 -982 28 -546 483910 -228480 -202230
2663 -884 -265 -383 351120 -218330 -227220
2673 -955 -346 -124 241430 -193620 -219030
2682 -921 -403 -94 155330 -179550 -193900
2692 -917 -411 91 86730 -161770 -151410
2701 -937 -361 31 25900 -150710 -93310
2711 -991 -424 20 -28700 -136500 -28350
2721 -1008 -458 50 -82530 -117110 26390
2730 -994 -463 55 -136640 -102200 62650
2740 -1042 -452 36 -194670 -92960 79030
2750 -1093 -452 -52 -258160 -88480 80150
2759 -1084 -429 -145 -324800 -86730 72240
2769 -1029 -380 -185 -391650 -85610 61530
2778 -966 -337 -175 -451290 -87010 54040
2788 -940 -280 -152 -502460 -94640 51660
2798 -893 -179 -272 -550760 -111440 52640
2807 -872 -99 -338 -604660 -128870 55860
2817 -857 -26 -373 -666400 -144550 56630
2826 -821 21 -353 -732340 -162190 54110
2836 -766 103 -344 -798070 -183820 47040
2846 -692 185 -340 -859530 -206430 35910
2855 -663 204 -306 -909580 -225400 22120
2865 -696 267 -210 -942900 -243110 7770
2875 -775 473 -100 -960400 -268870 -7420
2884 -870 537 56 -962640 -305900 -25270
2894 -885 577 -128 -938490 -349230 -47950
2903 -874 507 -131 -888020 -368970 -69160
2913 -863 501 -138 -819140 -365050 -84490
2923 -818 444 -166 -736960 -341950 -94220
2932 -762 298 -143 -642670 -300230 -97440
2942 -737 109 -85 -538370 -242760 -93240
2951 -772 -12 9 -422100 -179340 -82880
2961 -835 -52 127 -303730 -118930 -65520
2971 -912 -19 234 -198870 -69160 -41160
2980 -966 19 291 -120260 -33250 -12740
2990 -996 63 361 -70070 -9800 14840
3000 -1032 85 388 -44520 4340 36120
3009 -1068 91 406 -34580 11900 47180
3019 -1060 116 386 -29190 16940 49140
3028 -1038 147 348 -19530 21630 46830
3038 -1024 145 303 1330 29330 46620
3048 -994 132 262 44310 42560 51870
3057 -942 87 157 108640 63280 62580
3067 -927 53 96 186970 93170 76160
3076 -968 73 26 269990 129850 92610
3086 -968 92 -53 355950 169330 113680
3096 -960 219 -138 452060 210280 138250
3105 -967 390 -192 554120 251650 164010
3115 -957 482 -294 662970 291410 191240
3125 -871 618 -425 785960 333480 218680
3134 -788 793 -528 912310 375760 241990
3144 -795 903 -583 1023330 410340 254450
3153 -780 957 -933 1098300 421050 247170
3163 -829 974 -1325 1138130 421750 222810
3173 -881 1035 -963 1147230 414120 191870
3182 -790 733 -1131 1103480 357910 149520
3192 -781 513 -922 1025850 285950 97580
3201 -681 361 -801 934080 204470 41090
3211 -613 178 -761 834050 118650 -13440
3221 -789 46 -658 726250 46970 -65030
3230 -859 -137 -563 622230 -4900 -106470
3240 -871 -226 -490 528920 -37730 -124460
3250 -869 -288 -477 435960 -56280 -124810
3259 -923 -354 -332 340060 -60200 -109900
3269 -924 -415 -238 249410 -64050 -87080
3278 -889 -406 -184 166110 -70630 -59780
3288 -890 -397 -157 80290 -76930 -30380
3298 -925 -386 -218 -12110 -82320 -3500
3307 -943 -489 -128 -103040 -83370 16940
3317 -950 -471 -83 -186410 -86730 26250
3326 -891 -442 -223 -256970 -98840 26810
3336 -874 -402 -305 -318850 -104860 23520
3346 -921 -389 -321 -380940 -104230 17500
3355 -936 -366 -362 -444360 -106610 8750
3365 -896 -316 -429 -507990 -112070 -70
3375 -863 -203 -427 -573160 -118580 -6650
3384 -884 -87 -456 -649740 -129080 -11970
3394 -875 6 -560 -738430 -146790 -17920
3403 -770 114 -545 -831390 -164920 -24430
3413 -658 274 -541 -924140 -183330 -33740
3423 -594 331 -437 -1006950 -201740 -45430
3432 -706 509 -309 -1069390 -228970 -54460
3442 -840 854 -364 -1113350 -279090 -65240
3451 -856 822 -351 -1134840 -335160 -83720
3461 -803 761 -295 -1119510 -379120 -119210
3471 -789 755 -247 -1056650 -398720 -164500
3480 -747 689 -325 -960050 -388990 -205520
3490 -819 516 -126 -841610 -348460 -235060
3500 -772 496 -209 -708470 -295120 -249480
3509 -811 232 -190 -566930 -240870 -240310
3519 -945 97 -15 -425670 -179830 -207830
3528 -1077 29 114 -293300 -132790 -159670
3538 -1135 -16 176 -188300 -102830 -107100
3548 -1096 -29 221 -117110 -80850 -59850
3557 -1023 -34 294 -76580 -59080 -21840
3567 -971 -2 362 -54180 -35840 3990
3576 -945 40 391 -39970 -14140 18060
3586 -944 80 416 -29050 4690 23520
3596 -948 95 412 -19530 19250 22680
3605 -966 103 393 -12740 28770 17430
3615 -983 102 376 -8050 32900 9940
3625 -995 99 354 -4340 31360 2590
3634 -1005 68 326 -910 25620 -2800
3644 -989 36 314 4340 18060 -5950
3653 -956 6 284 10150 10990 -6650
3663 -937 -5 274 15890 7070 -5040
3673 -931 -17 264 22260 6720 -1540
3682 -925 -31 266 28490 8890 2450
3692 -911 -27 275 35490 12460 5320
3701 -912 -19 276 42490 15890 6510
3711 -926 -16 280 47950 18130 5950
3721 -936 -6 276 53410 18410 4760
3730 -942 7 273 60480 17220 3500
3740 -936 17 259 70140 15610 2800
3750 -930 16 253 82810 14420 2800
3759 -939 17 251 95830 13510 3290
3769 -936 14 250 106820 12250 4690
3778 -915 26 249 114730 11060 7140
3788 -928 35 236 116900 9800 8680
3798 -963 10 208 116340 8820 9730
3807 -987 -21 141 126840 11060 14140
3817 -1015 -57 67 164220 22890 26810
3826 -991 -91 63 247240 47670 51730
3836 -864 -82 -195 396270 85890 91210
3846 -758 -5 -474 601720 151760 142590
3855 -646 456 -756 851970 247730 199780
3865 -608 1011 -1052 1109500 360360 257180
3875 -536 1560 -1331 1342600 468790 302470
3884 -765 1868 -578 1523060 534800 314300
3894 -546 1646 -1993 1600550 487200 271460
3903 -1252 1923 -1634 1533490 429240 169820
3913 -1188 1632 -942 1357580 340200 71750
3923 -812 703 -667 1114750 134540 -14910
3932 -851 -225 123 886620 -32620 -104790
3942 -924 -193 -548 721700 -162960 -194390
3951 -1028 -115 -693 572740 -211540 -240660
3961 -1136 -288 -16 430010 -170660 -218330
3971 -1088 -347 82 309190 -140210 -156800
3980 -1001 -412 65 206430 -125300 -87010
3990 -1045 -434 188 115500 -101010 -24640
4000 -1068 -384 159 36820 -86310 23100
4009 -1031 -353 105 -32760 -78400 58100
4019 -984 -317 71 -92750 -70420 80220
4028 -953 -276 27 -140350 -61880 89740
4038 -948 -253 -18 -175910 -52850 88900
4048 -977 -268 -55 -202160 -42210 81970
4057 -1000 -250 -96 -226310 -30800 72660
4067 -981 -208 -106 -255010 -20090 65240
4076 -961 -177 -95 -288680 -12670 63770
4086 -957 -136 -101 -329700 -12110 68110
4096 -969 -109 -89 -385700 -19950 75950
4105 -970 -62 -107 -461300 -37870 83790
4115 -962 -1 -156 -552860 -64890 88130
4125 -943 39 -163 -654850 -97370 86660
4134 -868 96 -149 -757540 -133210 79660
4144 -752 258 -158 -855190 -170520 68460
4153 -688 376 -151 -950880 -206570 54670
4163 -645 453 -116 -1032290 -240030 38640
4173 -679 685 -102 -1081710 -278390 17780
4182 -748 783 -1 -1104880 -321230 -7490
4192 -775 776 66 -1094380 -360430 -40040
4201 -800 402 -130 -1036210 -387310 -76650
4211 -822 678 3 -931070 -389200 -102900
4221 -589 701 -208 -805980 -355110 -123550
4230 -564 340 -145 -681590 -289450 -138040
4240 -797 40 59 -533680 -206570 -138740
4250 -990 -5 201 -364140 -135590 -124600
4259 -1058 30 293 -212520 -85330 -97160
4269 -1059 -19 353 -108010 -50330 -63840
4278 -1047 -7 397 -45850 -24010 -32830
4288 -1045 23 439 -18270 -2100 -7350
4298 -1062 36 463 -15260 15330 8540
4307 -1068 50 459 -20370 26600 13020
4317 -1040 72 424 -19810 32410 11270
4326 -1026 76 391 -11130 35630 7770
4336 -1014 51 362 3640 38220 4060
4346 -980 33 333 26320 41300 1750
4355 -959 12 303 53410 45220 1960
4365 -943 -29 284 79660 50610 4900
4375 -930 -50 244 109970 57960 10990
4384 -949 -42 198 144830 68110 20580
4394 -968 -50 145 186550 82530 35420
4403 -977 -56 91 244300 103390 56350
4413 -960 -34 5 326970 133070 82600
4423 -931 30 -125 437430 173320 115150
4432 -966 114 -245 565740 224140 152670
4442 -962 227 -389 711410 280210 192080
4451 -831 555 -561 878780 339220 231840
4461 -795 956 -805 1047760 402850 269640
4471 -821 1316 -986 1190910 467740 296800
4480 -921 1365 -825 1291920 516740 301560
4490 -915 1131 -863 1340290 510300 269990
4500 -796 1084 -1968 1315300 434770 197540
4509 -1139 985 -842 1211980 382550 100590
4519 -972 602 -586 1056090 289310 11200
4528 -768 284 -778 878640 144900 -66920
4538 -772 -32 -423 698880 48580 -124810
4548 -897 -345 -132 537670 -16870 -162050
4557 -832 -373 -588 412860 -62790 -169680
4567 -940 -491 101 305200 -55720 -136500
4576 -772 -535 -212 211120 -54110 -82110
4586 -828 -573 -49 135450 -48160 -24780
4596 -926 -514 0 64540 -38080 22540
4605 -958 -465 -40 -10080 -39760 56630
4615 -912 -388 -103 -83930 -46970 78050
4625 -874 -340 -156 -150150 -53550 88480
4634 -862 -317 -213 -205310 -59290 90720
4644 -860 -292 -285 -248990 -63140 86240
4653 -858 -251 -310 -283850 -64750 78750
4663 -850 -195 -345 -315140 -66010 72590
4673 -862 -162 -336 -350070 -68530 68810
4682 -884 -112 -354 -393400 -75180 64750
4692 -888 -47 -365 -446740 -86870 58870
4701 -850 29 -392 -511070 -103530 52150
4711 -769 103 -382 -587580 -124740 44380
4721 -729 122 -383 -672630 -148330 32200
4730 -743 237 -284 -756980 -170100 16520
4740 -810 411 -284 -836080 -206080 2800
4750 -875 559 -358 -914130 -259420 -13930
4759 -869 675 -367 -977830 -316400 -40740
4769 -829 626 -344 -1015560 -361060 -76650
4778 -820 602 -235 -1010100 -386050 -117390
4788 -917 643 75 -965370 -390670 -153440
4798 -790 643 -273 -889280 -389620 -178710
4807 -818 475 -218 -797440 -354830 -189770
4817 -916 301 -117 -693210 -300090 -190960
4826 -1026 198 26 -572810 -244090 -182140
4836 -1076 132 128 -446810 -196840 -165900
4846 -1066 47 173 -323190 -157430 -144130
4855 -1039 -17 207 -208600 -120610 -116620
4865 -1037 -27 256 -112280 -83510 -83720
4875 -1036 -33 310 -41860 -46760 -48510
4884 -1018 -24 339 5670 -11830 -16100
4894 -1017 0 348 37240 19600 9520
4903 -1014 36 346 57260 45640 28070
4913 -1005 78 342 71470 65030 41020
4923 -1005 109 333 81900 77560 48580
4932 -1011 111 316 89040 84210 49910
4942 -991 110 287 96460 86170 45990
4951 -987 120 258 102830 84490 38290
4961 -1027 119 253 102480 79170 26880
4971 -1063 108 244 97090 69300 13510
4980 -1069 95 199 95130 56700 2310
4990 -1046 53 152 104300 47250 -2170
5000 -1019 49 114 130130 46060 2100
5009 -1029 27 78 170170 54740 14980
5019 -1018 -3 43 225820 72590 33880
5028 -1003 33 -43 300930 98700 57610
5038 -1049 72 -127 389970 133910 85820
5048 -991 82 -210 497210 176960 119140
5057 -868 187 -348 636300 228130 157080
5067 -802 456 -526 801990 289450 196490
5076 -776 744 -766 970620 358610 233450
5086 -775 1020 -945 1117060 425040 261380
5096 -899 1117 -542 1226120 469910 273490
5105 -700 959 -957 1296120 454790 263340
5115 -600 1128 -1996 1299550 396340 220150
5125 -1119 1033 -711 1221010 373940 151550
5134 -976 575 -810 1097880 291060 80430
5144 -927 291 -595 950180 157990 5180
5153 -820 12 -539 796880 49980 -63000
5163 -832 -64 -612 647990 -34860 -116690
5173 -881 -204 -495 510860 -79870 -146860
5182 -1005 -375 -217 389060 -92750 -143430
5192 -958 -396 -258 278950 -102200 -119210
5201 -937 -479 -200 176400 -101290 -87990
5211 -977 -486 -39 85050 -93030 -53620
5221 -965 -448 -110 4760 -99750 -22050
5230 -965 -443 -167 -71400 -106680 4340
5240 -948 -429 -103 -144410 -107100 21210
5250 -921 -414 -135 -211820 -111300 28350
5259 -948 -412 -167 -277200 -117180 27440
5269 -967 -402 -208 -345030 -122150 21140
5278 -939 -376 -258 -411530 -127820 13860
5288 -917 -351 -264 -476070 -134120 10150
5298 -899 -275 -283 -545720 -143990 9310
5307 -863 -163 -283 -622720 -158480 10710
5317 -757 -49 -313 -709240 -178220 14350
5326 -681 -4 -317 -802970 -201040 16800
5336 -652 72 -275 -892710 -224420 13580
5346 -720 267 -215 -963200 -259840 9590
5355 -777 455 -259 -1022840 -311080 4340
5365 -787 592 -327 -1074010 -369390 -11970
5375 -780 556 -365 -1111530 -415590 -42350
5384 -778 564 -290 -1111810 -439670 -82530
5394 -855 655 -42 -1071560 -444570 -123760
5403 -768 614 -289 -995470 -445690 -157570
5413 -760 396 -339 -896910 -405440 -180670
5423 -771 95 -265 -766990 -337750 -194530
5432 -845 -111 -123 -602980 -257670 -194810
5442 -964 -155 49 -418460 -183540 -179620
5451 -1036 -171 148 -241290 -127050 -146650
5461 -1023 -219 197 -93450 -86310 -98630
5471 -1009 -219 254 14350 -51030 -44450
5480 -1010 -132 336 75530 -15610 4970
5490 -1019 -27 420 93730 16380 41860
5500 -1042 45 481 82530 41020 63980
5509 -1085 91 492 58030 55160 70700
5519 -1047 127 459 33390 59780 64330
5528 -1079 112 425 16660 59290 50400
5538 -1097 99 373 11690 54390 33950
5548 -1067 68 334 13440 46480 18830
5557 -1047 20 306 16450 37940 6020
5567 -1028 -8 276 21000 28700 -2940
5576 -1022 7 269 23520 19950 -8890
5586 -1013 -5 269 20020 11340 -12180
5596 -991 -39 260 11690 2870 -14350
5605 -977 -57 243 2870 -4130 -16870
5615 -956 -76 224 -1540 -8330 -18130
5625 -946 -87 215 1120 -9590 -16170
5634 -948 -99 207 10990 -8610 -11340
5644 -935 -106 188 29050 -5460 -3500
5653 -944 -97 180 54110 350 7070
5663 -973 -90 175 83860 8820 19740
5673 -979 -103 151 122920 20020 35140
5682 -967 -107 73 179130 36820 54180
5692 -952 -103 5 255710 63980 78260
5701 -944 -39 -65 353640 102620 108150
5711 -962 84 -114 472360 150850 143290
5721 -895 130 -267 616980 206640 184100
5730 -827 342 -443 792540 271740 227780
5740 -791 717 -631 974750 348390 267680
5750 -763 1010 -768 1134980 430850 300230
5759 -778 1222 -923 1260420 503510 314300
5769 -1023 1186 -412 1341970 544880 300720
5778 -841 779 -918 1367170 507290 254100
5788 -693 1012 -1989 1320130 422660 172060
5798 -1067 821 -218 1222130 396620 91210
5807 -817 301 -577 1101310 301000 30730
5817 -750 72 -974 958020 174510 -37240
5826 -841 -27 -485 808990 114660 -98280
5836 -826 -198 -410 652680 60270 -138530
5846 -861 -303 -351 486710 10220 -161490
5855 -877 -414 -329 324590 -23660 -164430
5865 -821 -471 -375 178360 -48020 -151340
5875 -820 -547 -256 56980 -61110 -124740
5884 -758 -520 -298 -34930 -71610 -90790
5894 -716 -521 -339 -98910 -81900 -50260
5903 -695 -524 -365 -141470 -84280 -10710
5913 -701 -512 -402 -170870 -82740 20370
5923 -710 -488 -425 -195370 -79450 39270
5932 -722 -461 -444 -220570 -76090 47600
5942 -725 -446 -447 -249690 -74760 48440
5951 -742 -407 -461 -284130 -76860 45220
5961 -761 -352 -475 -327390 -82600 39900
5971 -776 -264 -472 -380730 -91700 35140
5980 -804 -189 -486 -447020 -105000 30870
5990 -789 -94 -550 -530180 -123130 24570
6000 -732 -16 -591 -626640 -142170 16240
6009 -722 60 -521 -729470 -161280 6090
6019 -736 241 -508 -824670 -193060 -2520
6028 -742 450 -558 -911120 -243250 -8190
6038 -740 490 -597 -988890 -300720 -17710
6048 -728 499 -595 -1044890 -354900 -37520
6057 -817 533 -440 -1067360 -398230 -66710
6067 -863 624 -407 -1058890 -428260 -99400
6076 -938 642 -76 -1024590 -442120 -131670
6086 -865 638 -336 -963550 -449750 -160020
6096 -847 495 -266 -887460 -424900 -182000
6105 -871 379 -119 -793100 -378350 -198730
6115 -920 268 11 -681380 -326900 -206290
6125 -939 167 109 -558530 -280000 -202230
6134 -944 44 208 -431760 -237650 -185500
6144 -921 -63 279 -306390 -197680 -157150
6153 -894 -116 338 -189910 -157080 -120120
6163 -874 -139 419 -92890 -113120 -79310
6173 -860 -109 490 -21070 -67690 -39970
